"boundary","term","estimate_log_odds","std_error","odds_ratio","ci95_lower","ci95_upper"
"TIER2_PLUS","is_free",-0.658977866775777,0.371584264610241,0.517379895496531,0.24975295606889,1.07178693889079
"TIER2_PLUS","tier_price_spline_1",2.11228139995152,0.288778071497828,8.26708030339068,4.69395907970268,14.5601219742715
"TIER2_PLUS","tier_price_spline_2",4.10159566005229,0.915613136173736,60.4366470418375,10.0441855330395,363.652014754681
"TIER2_PLUS","tier_price_spline_3",5.3439215216162,1.36302766999056,209.332002776401,14.4744827447646,3027.38883033514
"TIER2_PLUS","log_days",0.841853085655497,0.301842201289238,2.32066338277333,1.28433666509441,4.19319846774681
"TIER2_PLUS","platform_segmentWindows + macOS",0.193728680143542,0.168895175632174,1.2137669192105,0.871703562531064,1.69005863632368
"TIER2_PLUS","platform_segmentWindows + Linux",0.037050072583226,0.198397923194543,1.03774498210921,0.703413858568462,1.53098298359448
"TIER2_PLUS","platform_segmentWindows + macOS + Linux",0.672485144510647,0.183107341407549,1.95909992241729,1.36833511369429,2.80492144621883
"TIER2_PLUS","genre_action",-0.00157775998227961,0.0977590936140959,0.998423484026666,0.824328978113975,1.20928595248064
"TIER2_PLUS","genre_adventure",0.278694218912388,0.0955870814023065,1.32140322197188,1.09564533791463,1.59367855145633
"TIER2_PLUS","genre_casual",-0.030336517158359,0.0968427672153885,0.970119016917522,0.80239976043059,1.17289529907135
"TIER2_PLUS","genre_indie",0.131172950543036,0.10953261492798,1.14016495640909,0.919880991183387,1.41320033817742
"TIER2_PLUS","genre_rpg",0.292347258401245,0.117758921369872,1.33956811316179,1.06347279267666,1.68734239574047
"TIER2_PLUS","genre_simulation",0.365814119455828,0.108640934797752,1.44168723613871,1.16518268659555,1.78380790476569
"TIER2_PLUS","genre_strategy",-0.187906763056817,0.115669055167306,0.828691968336798,0.660592505430287,1.03956731682659
"TIER3_PLUS","is_free",-0.67638151027896,0.617354865056768,0.50845350143571,0.151617095377339,1.70511750326588
"TIER3_PLUS","tier_price_spline_1",3.55885234108307,0.36093530918252,35.1228649365914,17.3123329548785,71.2564646584164
"TIER3_PLUS","tier_price_spline_2",5.23750438689137,1.19007948909174,188.199841863151,18.2643046286013,1939.25699321998
"TIER3_PLUS","tier_price_spline_3",4.5098146247082,0.943867354459853,90.9049654140144,14.2939248304688,578.127619596005
"TIER3_PLUS","log_days",1.38560905834347,0.410350917086337,3.99725972795959,1.7883998130703,8.93429154711031
"TIER3_PLUS","platform_segmentWindows + macOS",0.215405836871394,0.2051850618195,1.24036518075794,0.829645411698502,1.85441365665719
"TIER3_PLUS","platform_segmentWindows + Linux",-1.08439625394419,0.365013931130171,0.338105854361764,0.165328056302594,0.691446880283108
"TIER3_PLUS","platform_segmentWindows + macOS + Linux",0.578148005638432,0.210649340860305,1.78273375870833,1.17971784744656,2.69398285472858
"TIER3_PLUS","genre_action",0.0230399946315866,0.13076375369222,1.02330746553389,0.791950045828994,1.3222528043688
"TIER3_PLUS","genre_adventure",0.24428313415332,0.125585853635012,1.27670575832468,0.998136599319503,1.63302056497143
"TIER3_PLUS","genre_casual",0.124586205164242,0.131202431341289,1.13267965908775,0.875841132343735,1.46483553093466
"TIER3_PLUS","genre_indie",-0.0671993620012969,0.140183815361439,0.935008777533364,0.71037687486334,1.23067268234572
"TIER3_PLUS","genre_rpg",0.247314741245822,0.143628866134471,1.28058210136234,0.966380300546386,1.69694117047129
"TIER3_PLUS","genre_simulation",0.368417252779719,0.138022058672696,1.44544502912181,1.10284589685947,1.89447259872171
"TIER3_PLUS","genre_strategy",-0.0352916934061122,0.149732236917013,0.965323796600033,0.719810801093023,1.29457633987612
"TIER4","is_free",0.172950126490839,1.04141155889492,1.188806813638,0.154398782166814,9.15332116172538
"TIER4","tier_price_spline_1",4.58455511040168,0.812616284281025,97.9595962408355,19.9220506913524,481.681461629494
"TIER4","tier_price_spline_2",6.22798494991137,2.81197846022813,506.733360923717,2.04726993764261,125424.935105882
"TIER4","tier_price_spline_3",5.57064601053,1.19305452425035,262.603689204373,25.3368318898758,2721.75692223393
"TIER4","log_days",1.23718694712745,0.716854388522435,3.44590630116272,0.845482630452151,14.0443692261812
"TIER4","platform_segmentWindows + macOS",0.288421511912074,0.331777088283591,1.3343196172174,0.696378753135288,2.55666737802566
"TIER4","platform_segmentWindows + Linux",-0.708326927223016,0.610159398937474,0.492467442466069,0.148935887757714,1.62837973802261
"TIER4","platform_segmentWindows + macOS + Linux",-0.211287314211095,0.448501833551776,0.809541440704089,0.336098533356404,1.94989647134908
"TIER4","genre_action",0.244216421146065,0.223156141614185,1.27662058828517,0.824342140319556,1.97704332548351
"TIER4","genre_adventure",0.174030284146004,0.214386493926912,1.19009160618259,0.78179146409819,1.81163148505339
"TIER4","genre_casual",0.244982504817655,0.230503742313468,1.27759896118257,0.813178342423234,2.00725845790572
"TIER4","genre_indie",-0.0294801495412631,0.235067240430116,0.970950151255812,0.612496567424235,1.5391828238128
"TIER4","genre_rpg",0.309446239633805,0.235152943995162,1.36267031235064,0.859457819837022,2.16051368351493
"TIER4","genre_simulation",0.276193994577498,0.235604340557903,1.31810354416637,0.830613650914776,2.09170286478016
"TIER4","genre_strategy",-0.0582962800782894,0.255978195249221,0.94337040417009,0.571201328150072,1.5580280990352
