"term","estimate_log_odds","std_error","z_value","odds_ratio_higher_tier","ci95_lower","ci95_upper","interpretation"
"is_free",-0.677335913207412,0.362874884741164,-1.86658251008622,0.507968463422625,0.249431565671374,1.03447997504815,"Odds ratio for being in a higher attention tier"
"tier_price_spline_1",2.43560753282654,0.244672169857023,9.95457527617391,11.4227563051711,7.07134059907272,18.4518564449345,"Spline basis term: interpret tier probabilities, not this coefficient"
"tier_price_spline_2",4.25376939192057,0.688405120430219,6.17916582209932,70.3701657878421,18.2560285297255,271.250684394216,"Spline basis term: interpret tier probabilities, not this coefficient"
"tier_price_spline_3",5.58659630062484,0.885799840925204,6.3068382297176,266.825877275298,47.0132093588638,1514.38393070073,"Spline basis term: interpret tier probabilities, not this coefficient"
"log_days",1.01387177904984,0.277594370261878,3.65234993092032,2.7562519812947,1.59965313214991,4.74910768572734,"Odds ratio for being in a higher attention tier"
"platform_segmentWindows + macOS",0.210119275093341,0.152953634399762,1.37374489934754,1.23382521579834,0.914232970992924,1.66513865878897,"Odds ratio for being in a higher attention tier"
"platform_segmentWindows + Linux",-0.17732613607527,0.180926510731928,-0.980100347693147,0.8375065988624,0.587462950982455,1.19397708734659,"Odds ratio for being in a higher attention tier"
"platform_segmentWindows + macOS + Linux",0.582680294296562,0.156801496137935,3.71603784815925,1.79083196053501,1.3169907008342,2.43515698997893,"Odds ratio for being in a higher attention tier"
"genre_action",0.0235896907453629,0.0897377884808111,0.262873546860442,1.02387012830349,0.858733736089007,1.22076261310822,"Odds ratio for being in a higher attention tier"
"genre_adventure",0.263876305070111,0.087150978540274,3.02780656614394,1.3019671396061,1.09752800983489,1.54448762803702,"Odds ratio for being in a higher attention tier"
"genre_casual",0.0225334067667201,0.0897340477358326,0.251113232215446,1.02278920167399,0.857833437784778,1.2194648809241,"Odds ratio for being in a higher attention tier"
"genre_indie",0.0717800208300362,0.100209888298883,0.716296785163032,1.07441896827306,0.882822286005643,1.30759739268472,"Odds ratio for being in a higher attention tier"
"genre_rpg",0.269677239449312,0.104015419962414,2.59266596766864,1.30954171411077,1.06802058673677,1.60568019221041,"Odds ratio for being in a higher attention tier"
"genre_simulation",0.36187410775264,0.0979128109057835,3.69588110488272,1.43601814702847,1.18526336445324,1.73982270982142,"Odds ratio for being in a higher attention tier"
"genre_strategy",-0.151378309768337,0.106711349644958,-1.41857740785766,0.859522471397724,0.697304873922792,1.059477577837,"Odds ratio for being in a higher attention tier"
