"specification_id","term","estimate_log_odds","std_error","z_value","p_value","ci95_lower_logit","ci95_upper_logit","odds_ratio","or_ci95_lower","or_ci95_upper","ci_crosses_1","direction","ci_method","comparison_term","primary_specification_id","primary_estimate_log_odds","primary_std_error","primary_z_value","primary_p_value","primary_ci95_lower_logit","primary_ci95_upper_logit","primary_odds_ratio","primary_or_ci95_lower","primary_or_ci95_upper","primary_ci_crosses_1","primary_direction","primary_ci_method","or_difference","or_difference_pct","log_odds_difference","direction_change","ci_crosses_1_change"
"RELEASE_MONTH","(Intercept)",1.54627192572214,0.102556778314799,15.0772279622107,2.28669989443795e-51,1.34526433385467,1.7472795175896,4.69393817241595,3.83920123734661,5.7389686563269,FALSE,"+","Wald normal","(Intercept)","PRIMARY",1.64854792601808,0.0794799043053611,20.7416949029578,1.45700329465069e-95,1.49277017608489,1.80432567595128,5.1994243940999,4.44940409548766,6.07587295956721,FALSE,"+","Wald normal",-0.505486221683944,9.72196503631345,-0.102276000295948,FALSE,FALSE
"RELEASE_MONTH","z_log1p_price",-0.0772672458812153,0.0323004638879179,-2.39214043950983,0.016750431567673,-0.140574991785471,-0.0139594999769597,0.925642446417409,0.868858505238957,0.98613748204486,FALSE,"-","Wald normal","z_log1p_price","PRIMARY",-0.0730417527083384,0.0321653680584518,-2.27081973927999,0.023157892501763,-0.136084715652379,-0.00999878976429776,0.929562017483736,0.872768692187678,0.990051031943549,FALSE,"-","Wald normal",-0.00391957106632701,0.421657833754552,-0.00422549317287695,FALSE,FALSE
"RELEASE_MONTH","release_month2025-08",0.103502549470786,0.103590563644985,0.999150364945397,0.317721856156132,-0.0995312244115886,0.306536323353161,1.10904862084852,0.905261683163814,1.35871081951387,TRUE,"+","Wald normal","release_month2025-08",,,,,,,,,,,,,,,,,,
"RELEASE_MONTH","release_month2025-09",0.187816372910779,0.104341460801153,1.80001670926102,0.0718579998679228,-0.0166891323537782,0.392321878175336,1.20661192836932,0.983449359707833,1.48041414772556,TRUE,"+","Wald normal","release_month2025-09",,,,,,,,,,,,,,,,,,
"RELEASE_MONTH","release_month2025-10",0.157570751346715,0.103935753928559,1.51603991303149,0.129509260302999,-0.0461395830592777,0.361281085752708,1.17066358107665,0.954908663815207,1.43516680913098,TRUE,"+","Wald normal","release_month2025-10",,,,,,,,,,,,,,,,,,
"RELEASE_MONTH","release_month2025-11",0.128357244721144,0.0989943921778117,1.29661127158184,0.194764972217718,-0.0656681986188004,0.322382688061089,1.13695910279181,0.936441525341407,1.38041294244174,TRUE,"+","Wald normal","release_month2025-11",,,,,,,,,,,,,,,,,,
"RELEASE_MONTH","release_month2025-12",0.0406426624646563,0.111682126428839,0.363913759204369,0.715922409769925,-0.178250283052716,0.259535607982029,1.04147987919108,0.836732977195592,1.29632794251195,TRUE,"+","Wald normal","release_month2025-12",,,,,,,,,,,,,,,,,,
"RELEASE_MONTH","platform_segmentWindows + macOS",0.370918506373031,0.108650329269657,3.41387374402205,0.000640462478868381,0.157967774096086,0.583869238649977,1.44906497901389,1.17112845342654,1.79296242633407,FALSE,"+","Wald normal","platform_segmentWindows + macOS","PRIMARY",0.366529652998134,0.1083358116059,3.38327324607567,0.000716273288264698,0.154195364014654,0.578863941981614,1.44271918086519,1.16671879938337,1.78401053958879,FALSE,"+","Wald normal",0.00634579814870118,0.439849849705021,0.00438885337489703,FALSE,FALSE
"RELEASE_MONTH","platform_segmentWindows + Linux",0.496019421456912,0.165901282869512,2.98984681057018,0.00279117389807157,0.170858882043677,0.821179960870147,1.64217145087107,1.18632332568551,2.27318051973539,FALSE,"+","Wald normal","platform_segmentWindows + Linux","PRIMARY",0.489501800199617,0.165771764774803,2.95286595316514,0.00314838645647288,0.164595111587357,0.814408488811877,1.63150320287972,1.17891569276231,2.25783973981205,FALSE,"+","Wald normal",0.0106682479913511,0.653890717009986,0.00651762125729499,FALSE,FALSE
"RELEASE_MONTH","platform_segmentWindows + macOS + Linux",0.426170394980049,0.112976881322722,3.77219117743814,0.000161820190174753,0.204739776501857,0.64760101345824,1.53138169265607,1.22720567565482,1.91095098003913,FALSE,"+","Wald normal","platform_segmentWindows + macOS + Linux","PRIMARY",0.418186053630357,0.112872129629295,3.70495404847772,0.000211429058503257,0.196960744698604,0.639411362562111,1.51920330139901,1.21769623873481,1.89536486815435,FALSE,"+","Wald normal",0.0121783912570541,0.801630120592756,0.00798434134969161,FALSE,FALSE
