"specification_id","term","estimate_log_odds","std_error","z_value","p_value","ci95_lower_logit","ci95_upper_logit","odds_ratio","or_ci95_lower","or_ci95_upper","ci_crosses_1","direction","ci_method","comparison_term","primary_specification_id","primary_estimate_log_odds","primary_std_error","primary_z_value","primary_p_value","primary_ci95_lower_logit","primary_ci95_upper_logit","primary_odds_ratio","primary_or_ci95_lower","primary_or_ci95_upper","primary_ci_crosses_1","primary_direction","primary_ci_method","or_difference","or_difference_pct","log_odds_difference","direction_change","ci_crosses_1_change","n_games_with_genre","positive_reviews_with_genre","negative_reviews_with_genre","total_reviews_with_genre","source_semantics"
"GENRE_EXPANDED","(Intercept)",1.6421667460677,0.0805918481345856,20.3763381046348,2.71201369999578e-92,1.48420962627639,1.80012386585901,5.16635156546378,4.41147731875618,6.05039685560385,FALSE,"+","Wald normal","(Intercept)","PRIMARY",1.64854792601808,0.0794799043053611,20.7416949029578,1.45700329465069e-95,1.49277017608489,1.80432567595128,5.1994243940999,4.44940409548766,6.07587295956721,FALSE,"+","Wald normal",-0.0330728286361177,0.636086345897202,-0.00638117995038567,FALSE,FALSE,,,,,
"GENRE_EXPANDED","z_log1p_price",-0.0726759079281605,0.0327060667997732,-2.2220925668954,0.0262770505113361,-0.136778620931677,-0.00857319492464383,0.929902155110678,0.872163283457013,0.991463450114502,FALSE,"-","Wald normal","z_log1p_price","PRIMARY",-0.0730417527083384,0.0321653680584518,-2.27081973927999,0.023157892501763,-0.136084715652379,-0.00999878976429776,0.929562017483736,0.872768692187678,0.990051031943549,FALSE,"-","Wald normal",0.000340137626941961,0.0365911709541145,0.000365844780177857,FALSE,FALSE,,,,,
"GENRE_EXPANDED","z_days_since_release",-0.0199466840037616,0.0306317936849648,-0.65117584066101,0.514932983899252,-0.079983896408154,0.0400905284006308,0.980250934968713,0.923131211995199,1.04090500139219,TRUE,"-","Wald normal","z_days_since_release","PRIMARY",-0.0174602217714934,0.0305968743691416,-0.570653772043554,0.568234360743685,-0.0774289935745075,0.0425085500315208,0.982691324607685,0.92549273799471,1.04342497765199,TRUE,"-","Wald normal",-0.00244038963897208,0.248337354554984,-0.00248646223226819,FALSE,FALSE,,,,,
"GENRE_EXPANDED","platform_segmentWindows + macOS",0.357701403399194,0.108315291079424,3.30240910433324,0.000958581500380731,0.145407333908551,0.569995472889837,1.43003855207181,1.15651056030321,1.76825904631212,FALSE,"+","Wald normal","platform_segmentWindows + macOS","PRIMARY",0.366529652998134,0.1083358116059,3.38327324607567,0.000716273288264698,0.154195364014654,0.578863941981614,1.44271918086519,1.16671879938337,1.78401053958879,FALSE,"+","Wald normal",-0.0126806287933734,0.878939502680554,-0.00882824959894057,FALSE,FALSE,,,,,
"GENRE_EXPANDED","platform_segmentWindows + Linux",0.491127190496878,0.165785963162068,2.96241721029642,0.00305233881869441,0.166192673556941,0.816061707436815,1.6341571886527,1.18080058885669,2.26157552970988,FALSE,"+","Wald normal","platform_segmentWindows + Linux","PRIMARY",0.489501800199617,0.165771764774803,2.95286595316514,0.00314838645647288,0.164595111587357,0.814408488811877,1.63150320287972,1.17891569276231,2.25783973981205,FALSE,"+","Wald normal",0.00265398577297726,0.162671196004571,0.00162539029726078,FALSE,FALSE,,,,,
"GENRE_EXPANDED","platform_segmentWindows + macOS + Linux",0.425927416702513,0.113039065195603,3.76796655178888,0.000164582748232227,0.204374920073057,0.64747991333197,1.53100964537167,1.2267580034476,1.91071957764586,FALSE,"+","Wald normal","platform_segmentWindows + macOS + Linux","PRIMARY",0.418186053630357,0.112872129629295,3.70495404847772,0.000211429058503257,0.196960744698604,0.639411362562111,1.51920330139901,1.21769623873481,1.89536486815435,FALSE,"+","Wald normal",0.0118063439726577,0.777140489477968,0.00774136307215612,FALSE,FALSE,,,,,
"GENRE_EXPANDED","genre_action",-0.137771796535956,0.0664155488269339,-2.0743906956933,0.038043040732125,-0.267943880250208,-0.00759971282170407,0.87129750216853,0.764950708740686,0.992429091980186,FALSE,"-","Wald normal","genre_action","PRIMARY",-0.124687684110165,0.0655244567545831,-1.90291824283524,0.0570512141588083,-0.2531132594557,0.00373789123536991,0.882772563434394,0.776379944474036,1.00374488586315,TRUE,"-","Wald normal",-0.0114750612658638,1.29988875291055,-0.0130841124257907,FALSE,TRUE,,,,,
"GENRE_EXPANDED","genre_adventure",0.00152367856010097,0.0633718888153418,0.024043445581065,0.980817954149605,-0.122682941150246,0.125730298270448,1.00152483994806,0.884544070631133,1.13397629167002,TRUE,"+","Wald normal","genre_adventure","PRIMARY",-0.00769179156638015,0.062609430371677,-0.122853562486007,0.902223058739129,-0.130404020187435,0.115020437054675,0.99233771456224,0.877740734297098,1.12189636559501,TRUE,"-","Wald normal",0.00918712538582422,0.925806330950252,0.00921547012648112,TRUE,FALSE,,,,,
"GENRE_EXPANDED","genre_casual",0.0974563749315599,0.0671392044044382,1.45155689281772,0.146624852184319,-0.034134047651812,0.229046797514932,1.10236334983775,0.966441946680666,1.2574008808695,TRUE,"+","Wald normal","genre_casual","PRIMARY",0.101220050627175,0.0669988735444931,1.51077242455362,0.130846442688238,-0.0300953285247846,0.232535429779135,1.10652010541846,0.970353026816746,1.26179515069055,TRUE,"+","Wald normal",-0.00415675558070672,0.375660194546101,-0.00376367569561541,FALSE,FALSE,,,,,
"GENRE_EXPANDED","genre_indie",0.143487397638547,0.0697310743771427,2.05772532432945,0.0396165079709921,0.00681700325606349,0.28015779202103,1.15429226390711,1.0068402919123,1.32333860813733,FALSE,"+","Wald normal","genre_indie","PRIMARY",0.135089176785313,0.0693213115085197,1.94873948350949,0.0513265440200587,-0.000778097132467459,0.270956450703093,1.14463885501351,0.999222205506607,1.31121796652065,TRUE,"+","Wald normal",0.00965340889359845,0.843358483884815,0.00839822085323394,FALSE,TRUE,,,,,
"GENRE_EXPANDED","genre_rpg",-0.0859111977959503,0.0692696329181803,-1.24024329531855,0.214885418973511,-0.221677183537894,0.0498547879459933,0.91767571922841,0.801173954735394,1.0511184502241,TRUE,"-","Wald normal","genre_rpg","PRIMARY",-0.0871883993301128,0.0692183774701941,-1.25961345117713,0.207808840724622,-0.222853926239992,0.0484771275797663,0.916504410549793,0.800231733615687,1.04967136302123,TRUE,"-","Wald normal",0.00117130867861737,0.127801750339063,0.0012772015341625,FALSE,FALSE,,,,,
"GENRE_EXPANDED","genre_simulation",-0.257145821217408,0.0661893656153133,-3.88500205171804,0.000102329024200391,-0.386874593982976,-0.12741704845184,0.773255448492998,0.679176262376192,0.880366440564615,FALSE,"-","Wald normal","genre_simulation","PRIMARY",-0.240956587486069,0.0651969260110111,-3.69582742973762,0.000219171812570787,-0.368740214370373,-0.113172960601764,0.785875742489426,0.69160505616958,0.892996193599071,FALSE,"-","Wald normal",-0.0126202939964284,1.6058892410206,-0.0161892337313389,FALSE,FALSE,,,,,
"GENRE_EXPANDED","genre_strategy",-0.186108693385506,0.0751577738138196,-2.47624010054547,0.0132774254557003,-0.3334152232188,-0.0388021635522122,0.830183354638351,0.71647263630928,0.961940997312668,FALSE,"-","Wald normal","genre_strategy","PRIMARY",-0.191505896848702,0.0746344144908829,-2.56591946429881,0.0102902717221728,-0.337786661258067,-0.0452251324393371,0.82571475597714,0.713347456314887,0.955782280013379,FALSE,"-","Wald normal",0.00446859866121108,0.541179460444918,0.00539720346319567,FALSE,FALSE,,,,,
"GENRE_EXPANDED","genre_early_access",-0.025751383003606,0.0947797120359111,-0.271697206611569,0.785854849327585,-0.211516205059069,0.160013439051857,0.974577355986731,0.809356165281989,1.17352664197123,TRUE,"-","Wald normal","genre_early_access",,,,,,,,,,,,,,,,,,,93,66807,13227,80034,"Steam genre/category label in the frozen genre mapping; not historical launch-state status"
"GENRE_EXPANDED","genre_sports",0.213801363076321,0.169656170048824,1.26020387596156,0.207595825000094,-0.118718619974376,0.546321346127018,1.23837664303402,0.88805764729294,1.72688869319127,TRUE,"+","Wald normal","genre_sports",,,,,,,,,,,,,,,,,,,31,29975,4599,34574,"Steam genre/category label in the frozen genre mapping"
