"total_reviews","prior_precision_ess","data_weight","prior_weight"
1,6.06692958049607,0.141504169329759,0.858495830670241
2,6.06692958049607,0.247925803745148,0.752074196254852
5,6.06692958049607,0.451796495462645,0.548203504537355
10,6.06692958049607,0.622396454151338,0.377603545848662
20,6.06692958049607,0.76725568840929,0.23274431159071
50,6.06692958049607,0.891791299686107,0.108208700313893
100,6.06692958049607,0.942800931407261,0.0571990685927395
500,6.06692958049607,0.988011606319494,0.0119883936805064
1000,6.06692958049607,0.993969656091344,0.00603034390865609
10000,6.06692958049607,0.999393674895122,0.000606325104878236
